start_time,end_time,speaker,title,abstract,bio,expandable
9:30,10:00,Reception,,,,FALSE
10:00,10:05,Katrina/Eliad,Opening remarks,,,FALSE
10:05,10:30,Kobbi Nissim,Protecting the Undeleted in Machine Unlearning,"Legal data protection standards such as the EU General Data Protection Regulation (GDPR) and the California Consumer Privacy Act (CCPA) provide individuals with the right to request that their specific information be deleted, also known as the Right to be Forgotten (RTBF). This provision gave rise to Machine Unlearning, a branch of machine learning focused on removing elements from the training data by efficiently producing a model that would have been obtained had the deleted data never been included—""perfect retraining.""
In this talk, we will discuss how data deletion affects privacy. We will first present a task that can be computed with strong privacy guarantees, yet any perfect retraining mechanism for the task allows an adversary controlling merely a small number of data points to reconstruct almost the entire dataset simply by issuing deletion requests. 
We will then discuss ways forward. In particular, a new cryptographically motivated security definition that safeguards undeleted data points against leakage caused by the deletion of other points. We show that our definition permits several essential functionalities, such as bulletin boards, summations, and statistical learning.
Based on work with Aloni Cohen, Refael Kohen, and Uri Stemmer presented in FORC 2026.","Prof. Kobbi Nissim is McDevit Chair in Computer Science, Georgetown University and affiliated with Georgetown Law. His work focuses on the mathematical formulation and understanding of privacy. Nissim's work with Dinur and Dwork in 2003 and 2004 initiated rigorous foundational research on privacy, and in 2006 he introduced differential privacy with Dwork, McSherry, and Smith. Nissim is a fellow of the IACR. He was awarded the Paris Kanellakis Theory and Practice Award in 2020, the Caspar Bowden Award for Outstanding Research in Privacy Enhancing Technologies in 2019, the Godel Prize in 2017, and test-of-time awards in 2013, 2016, and 2018.",TRUE
10:30,10:55,Eliad Tsfadia,The Complexity of Computationally Differentially Private Inner Product Protocols,"In distributed differential privacy, multiple parties collaborate to analyze their combined data while each party protects the privacy of its data from the others. Interestingly, for certain fundamental two-party functions, such as the inner product and Hamming distance, the accuracy of distributed solutions significantly lags behind what can be achieved in the centralized model. For computational differential privacy, however, these limitations can be circumvented using oblivious transfer (used to implement secure multi-party computation). Yet, no results show that oblivious transfer is indeed necessary for accurately estimating a non-Boolean functionality. In particular, for the inner-product functionality, it was previously unknown whether oblivious transfer is necessary even for the best possible constant additive error.
In this work, we prove that any computationally differentially private protocol that estimates the inner product over {-1,1}^n \times {-1,1}^n up to an additive error of \tilde{O}(n^{1/6}), can be used to construct oblivious transfer. In particular, our result implies that protocols with sub-polynomial accuracy are equivalent to oblivious transfer. In this accuracy regime, our result improves upon Haitner, Mazor, Silbak, and Tsfadia [STOC '22], who showed that a key-agreement protocol is necessary.
Joint work with Iftach Haitner, Noam Mazor, Jad Silbak, and Chao Yan.
Crypto '25
Arxiv: https://arxiv.org/abs/2502.15629","Eliad Tsfadia is a Senior Lecturer (Assistant Professor) in the Department of Computer Science at Bar-Ilan University. 
Before that, he was a postdoctoral researcher at Georgetown University, hosted by Prof. Kobbi Nissim, and a recipient of the Fulbright postdoctoral fellowship. He earned his PhD from Tel Aviv University in 2022, under the supervision of Prof. Iftach Haitner. During his PhD studies, he was an intern researcher at Google (2019-2022) and a part-time security researcher at IBM (2017-2019). Prior to his academic career, he was a software engineer, team leader, and officer (Major) in the technological unit of the Intelligence Corps at IDF.
Eliad's primary research interests lie in Data Privacy, particularly at the intersections with Cryptography and Machine Learning theory.",TRUE
10:55,11:20,Tamir Tassa,"Truth, Justice, and Secrecy: Cake Cutting Under Privacy Constraints","Cake-cutting algorithms, which aim to fairly allocate a continuous resource based on individual agent preferences, have seen significant progress over the past two decades. Much of the research has concentrated on fairness, with comparatively less attention given to other important aspects. Chen et al. (2010) introduced an algorithm that, in addition to ensuring fairness, was strategyproof---meaning agents had no incentive to misreport their valuations. However, even in the absence of strategic incentives to misreport, agents may still hesitate to reveal their true preferences due to privacy concerns (e.g., when allocating advertising time between firms, revealing preferences could inadvertently expose planned marketing strategies or product launch timelines).
In this work, we extend the strategyproof algorithm of Chen et al. by introducing a privacy-preserving dimension. To the best of our knowledge, we present the first private cake-cutting protocol, and, in addition, this protocol is also envy-free and strategyproof. Our approach replaces the algorithm’s centralized computation with a novel adaptation of cryptographic techniques, enabling privacy without compromising fairness or strategyproofness. Thus, our protocol encourages agents to report their true preferences not only because they are not incentivized to lie, but also because they are protected from having their preferences exposed.","Professor Tamir Tassa is a faculty member in the Department of Mathematics and Computer
Science at the Open University of Israel. Previously, he served as a lecturer and researcher in
the School of Mathematical Sciences at Tel Aviv University, and in the Department of
Computer Science at Ben Gurion University. During the years 1993-1996 he served as an
assistant professor of Computational and Applied Mathematics at the University of
California, Los Angeles. He earned his PhD in mathematics from Tel Aviv University in 1993.
His recent research interests include secure multiparty computation, privacy-preserving
distributed protocols and their applications (e.g. distributed constraint optimization, secure
voting, collaborative filtering, fair division of goods).",TRUE
11:20,11:50,,Break,,,FALSE
11:50,12:15,Omri Lev,Differential Privacy via Randomized Sketches,"Machine learning models trained on personal data are ubiquitous, making it essential to protect individuals’ privacy. Differential privacy (DP) has emerged as the standard framework for privacy-preserving data analysis, providing a formal guarantee that the inclusion or exclusion of any individual has only a limited effect on the output distribution of a computation. At the same time, randomized sketching has become a central tool for designing computationally efficient optimization methods with strong guarantees across machine learning and data science. At a high level, sketching methods multiply a large data-dependent quantity by a lower-dimensional random projection and then solve the resulting reduced problem. Because this reduced problem is typically much cheaper to solve, the overall runtime is usually dominated by the projection step, which can often be implemented efficiently using sparse or structured matrices.
Despite their shared reliance on randomness, the connection between randomized sketching and differential privacy remains only partially understood. In this talk, we develop new theory and algorithms at this interface. We use modern tools from differential privacy to derive state-of-the-art privacy guarantees for sketching-based mechanisms and to design new private algorithms with guarantees suitable for practical deployment. Then, focusing on the classical problem of differentially private ordinary least squares (DP-OLS), we provide a comprehensive study of existing sketch-based methods, identifying their limitations and characterizing the regimes in which they succeed or fail. Building on this analysis, we develop new algorithms that leverage ideas from the classical sketching literature to improve over prior methods in both utility and runtime. Our approach yields computationally efficient and near-optimal private algorithms with strong theoretical guarantees and excellent empirical performance.","Omri Lev received his B.Sc. in Electrical Engineering from the Technion–Israel Institute of Technology, his M.Sc. in Electrical Engineering from Tel Aviv University, and his Ph.D. in Electrical Engineering and Computer Science from the Massachusetts Institute of Technology (MIT). His research interests include randomized sketching for differential privacy and optimization, machine learning for wireless communications and signal processing, and information theory.",TRUE
12:15,12:40,Hilal Asi,TBD,,,TRUE
12:40,13:55,,Lunch,,,FALSE
13:55,14:20,Natalie Shlomo,Measuring Risk of Re-identification for a Nonprobability Sample Using a General Reference Sample,"Estimating the risk of re-identification probabilistically is well-developed for the case of a random representative sample drawn from the general population, such as large- scale government surveys conducted regularly at National Statistical Institutes. Recent work extended this procedure to assess the risk of re-identification in non-probability subpopulation registers such as a cancer register (Shlomo and Skinner, 2022). In this paper, we extend this work further to the case of samples drawn from registers or more generally to non-probability samples, such as those used in opt-in panels at survey organizations. We assume that membership to the subpopulation register and the sampling mechanism are unknown. We show how to assess the risk of re-identification for non-probability samples using a probability-based reference sample to infer population parameters under the probabilistic modelling framework. We demonstrate with simulation studies and a real application on the 2021 Survey of Doctoral Recipients drawn from a subpopulation register of all PhD recipients from an accredited US institution.
References: 
Shlomo, N., Riddles, M. and Krenzke, T. (2026) Measuring Risk of Re-identification for a Nonprobability Sample Using a General Reference Sample. Journal of Official Statistics, Vol. 42 (2), 277–291.
Shlomo, N. and Skinner, C. (2022) Measuring Risk of Re-identification in Microdata: State-of-the Art and New Directions.. Journal of the Royal Statistical Society, Series A, Vol 185 (4), 1644-1662.","Natalie Shlomo is Professor (Emerita) of Social Statistics at the University of Manchester. Her areas of interest are in topics related to survey statistics and survey methodology. She is an elected member of the International Statistical Institute (ISI), a fellow of the Royal Statistical Society, a fellow of the United Kingdom Academy of Social Sciences and Past- President 2023-2025 of the International Association of Survey Statisticians.  She also serves on national and international Methodology Advisory Committees and editorial boards.
Homepage:   https://www.research.manchester.ac.uk/portal/natalie.shlomo.html",TRUE
